     n   repetitions    time
     0    11514466    0.000000
    10     3838690    0.000000
    20     2163414    0.000000
    30     1097415    0.000001
    40      715130    0.000001
    50      463561    0.000002
    60      339798    0.000003
    70      222672    0.000004
    80      172914    0.000006
    90      141011    0.000007
   100      109117    0.000009
   200       26665    0.000038
   300       12344    0.000081
   400        8256    0.000121
   500        5751    0.000174
   600        4017    0.000249
   700        3004    0.000333
   800        2272    0.000440
   900        1797    0.000556
  1000        1577    0.000634
  1100        1408    0.000710
  1200        1182    0.000846
  1300        1008    0.000992
  1400         867    0.001153
  1500         757    0.001321
  1600         664    0.001506
  1700         590    0.001697
  1800         525    0.001905
  1900         457    0.002188
  2000         428    0.002336
